schname,md_earn,num_search,locality,total_earning_sd,lg_md
EAST TENNESSEE STATE UNIVERSITY,34000.0,624.0,city_small,-0.6715965105334861,10.434145214930487
FISK UNIVERSITY,33800.0,468.0,city_large,-0.68810291850034,10.428245666832275
WELCH COLLEGE,31200.0,156.0,city_large,-0.9026862220694396,10.348205424565993
FREED-HARDEMAN UNIVERSITY,37000.0,780.0,town_mid,-0.4240003910306788,10.518700218288165
JOHNSON UNIVERSITY,29400.0,312.0,Rural_large,-1.051243893771124,10.288783966353765
KING UNIVERSITY,39700.0,468.0,city_small,-0.20116388347815228,10.589131655274922
SOUTH COLLEGE,22400.0,628.0,city_mid,-1.6289681726110077,10.016860879703811
LANE COLLEGE,25000.0,312.0,city_small,-1.414384869041908,10.12667110305036
LE MOYNE-OWEN COLLEGE,28300.0,156.0,city_large,-1.14202913758882,10.250652418696085
LEE UNIVERSITY,32400.0,468.0,city_small,-0.8036477742683167,10.385944565501662
LINCOLN MEMORIAL UNIVERSITY,37500.0,468.0,town_small,-0.3827343711135443,10.53212287826962
MARTIN METHODIST COLLEGE,29100.0,468.0,town_mid,-1.0760035057214048,10.278527816830314
MARYVILLE COLLEGE,36500.0,312.0,sub_large,-0.4652664109478134,10.505094936455558
MEMPHIS COLLEGE OF ART,26700.0,312.0,city_large,-1.2740804013236506,10.192456296870509
UNIVERSITY OF MEMPHIS,37000.0,780.0,city_large,-0.4240003910306788,10.518700218288165
VICTORY UNIVERSITY,39000.0,468.0,city_large,-0.2589363113621407,10.571342565808699
MIDDLE TENNESSEE STATE UNIVERSITY,36100.0,624.0,city_mid,-0.49827922688152104,10.494075844768336
MILLIGAN COLLEGE,36400.0,468.0,sub_mid,-0.4735196149312403,10.502351525774941
RHODES COLLEGE,50300.0,312.0,city_large,0.6736757387651001,10.825780236605917
SOUTHERN ADVENTIST UNIVERSITY,38500.0,471.0,sub_large,-0.3002023312792752,10.55843949396453
TENNESSEE WESLEYAN COLLEGE,35300.0,471.0,town_mid,-0.5643048587489363,10.471666571132038
TENNESSEE STATE UNIVERSITY,35800.0,471.0,city_large,-0.5230388388318018,10.485731104959568
TENNESSEE TECHNOLOGICAL UNIVERSITY,37700.0,628.0,town_small,-0.3662279631466905,10.537441898283253
TENNESSEE TEMPLE UNIVERSITY,33300.0,471.0,city_mid,-0.7293689384174745,10.413342705547674
TREVECCA NAZARENE UNIVERSITY,39500.0,624.0,city_large,-0.2176702914450061,10.584081267024454
TUSCULUM COLLEGE,40000.0,468.0,town_mid,-0.17640427152787155,10.596659732783579
UNION UNIVERSITY,37400.0,468.0,city_small,-0.3909875750969712,10.529452721013085
VANDERBILT UNIVERSITY,60900.0,624.0,city_large,1.5485153610083526,11.017004873924424
ABILENE CHRISTIAN UNIVERSITY,40200.0,471.0,city_mid,-0.15989786356101773,10.601647149919609
ANGELO STATE UNIVERSITY,38000.0,471.0,city_small,-0.3414683511964098,10.545367754151743
ARLINGTON BAPTIST COLLEGE,34000.0,314.0,city_large,-0.6715965105334861,10.434145214930487
THE ART INSTITUTE OF HOUSTON,32900.0,314.0,city_large,-0.7623817543511822,10.401258331428318
AUSTIN COLLEGE,47600.0,314.0,city_small,0.4508392312125736,10.7706090484022
BAYLOR UNIVERSITY,49100.0,628.0,city_mid,0.5746372909639772,10.801634680173994
DALLAS BAPTIST UNIVERSITY,42200.0,628.0,city_large,0.005166216107520448,10.650199196425806
DALLAS CHRISTIAN COLLEGE,42200.0,471.0,sub_large,0.005166216107520448,10.650199196425806
UNIVERSITY OF DALLAS,45200.0,780.0,city_mid,0.25276233561032774,10.718874489469398
EAST TEXAS BAPTIST UNIVERSITY,36700.0,624.0,town_mid,-0.4487600029809596,10.510559281627845
HARDIN-SIMMONS UNIVERSITY,38600.0,780.0,city_mid,-0.2919491272958483,10.5610334618531
HOUSTON BAPTIST UNIVERSITY,43600.0,624.0,city_large,0.12071107187549718,10.682835364853922
UNIVERSITY OF HOUSTON,48300.0,936.0,city_large,0.5086116590965619,10.785207543360087
HOWARD PAYNE UNIVERSITY,37300.0,468.0,town_small,-0.3992407790803981,10.526775414924009
HUSTON-TILLOTSON UNIVERSITY,30500.0,780.0,city_large,-0.960458649953428,10.32551474894327
UNIVERSITY OF THE INCARNATE WORD,42700.0,624.0,city_large,0.046432236024654995,10.661977618146238
JARVIS CHRISTIAN COLLEGE,25800.0,312.0,Rural_mid,-1.3483592371744928,10.158168529848494
LAMAR UNIVERSITY,38800.0,468.0,city_mid,-0.2754427193289945,10.566201298475118
TEXAS A & M INTERNATIONAL UNIVERSITY,45200.0,471.0,city_mid,0.25276233561032774,10.718874489469398
LETOURNEAU UNIVERSITY,50000.0,624.0,city_small,0.6489161268148194,10.819798284210286
LUBBOCK CHRISTIAN UNIVERSITY,36700.0,312.0,city_mid,-0.4487600029809596,10.510559281627845
MCMURRY UNIVERSITY,37200.0,468.0,city_mid,-0.407493983063825,10.524090921620362
MIDWESTERN STATE UNIVERSITY,38500.0,624.0,city_mid,-0.3002023312792752,10.55843949396453
UNIVERSITY OF NORTH TEXAS,42100.0,624.0,city_mid,-0.0030869878759064617,10.647826772357497
OUR LADY OF THE LAKE UNIVERSITY,39200.0,624.0,city_large,-0.24242990339528683,10.576457535657255
THE UNIVERSITY OF TEXAS AT BROWNSVILLE,29400.0,628.0,city_mid,-1.051243893771124,10.288783966353765
PAUL QUINN COLLEGE,29500.0,468.0,city_large,-1.042990689787697,10.292179440058462
PRAIRIE VIEW A & M UNIVERSITY,33600.0,624.0,town_mid,-0.7046093264671938,10.422311107413181
RICE UNIVERSITY,59900.0,624.0,city_large,1.4659833211740834,11.000448478455008
SAINT EDWARD'S UNIVERSITY,44700.0,312.0,city_large,0.2114963156931932,10.707751151716078
UNIVERSITY OF ST THOMAS,48800.0,1872.0,city_large,0.5498776790136964,10.795506083434564
SAM HOUSTON STATE UNIVERSITY,41400.0,624.0,town_mid,-0.06085941575989483,10.63106031411106
SCHREINER UNIVERSITY,36700.0,312.0,town_small,-0.4487600029809596,10.510559281627845
ST MARY'S UNIVERSITY,46300.0,314.0,city_large,0.3435475794280237,10.742918838113225
SOUTHERN METHODIST UNIVERSITY,52200.0,628.0,sub_large,0.8304866144502114,10.862856930775358
SOUTHWESTERN ASSEMBLIES OF GOD UNIVERSITY,31600.0,785.0,sub_large,-0.869673406135732,10.360944044643913
SOUTHWESTERN UNIVERSITY,47200.0,471.0,sub_large,0.41782641527886594,10.762170357789895
STEPHEN F AUSTIN STATE UNIVERSITY,39700.0,785.0,Rural_large,-0.20116388347815228,10.589131655274922
TEXAS STATE UNIVERSITY,43700.0,628.0,sub_small,0.1289642758589241,10.685126264117057
SOUTHWESTERN ADVENTIST UNIVERSITY,37900.0,471.0,town_large,-0.34972155517983666,10.542732775946709
SUL ROSS STATE UNIVERSITY,38000.0,628.0,town_small,-0.3414683511964098,10.545367754151743
TARLETON STATE UNIVERSITY,40400.0,628.0,town_small,-0.1433914555941639,10.606609816118151
UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER,81500.0,624.0,city_large,3.2486753815942957,11.308370569092329
THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,71000.0,785.0,city_large,2.3820889633344704,11.170449240431308
THE UNIVERSITY OF TEXAS MEDICAL BRANCH,68500.0,936.0,town_large,2.1757588637487975,11.134603622683905
THE UNIVERSITY OF TEXAS AT ARLINGTON,46400.0,785.0,city_large,0.35180078341145066,10.74507628970625
THE UNIVERSITY OF TEXAS AT AUSTIN,52800.0,1099.0,city_large,0.8800058383507728,10.874285408908944
THE UNIVERSITY OF TEXAS AT DALLAS,49500.0,785.0,city_mid,0.6076501068976848,10.809748150372926
THE UNIVERSITY OF TEXAS AT EL PASO,39800.0,785.0,city_large,-0.19291067949472537,10.591647316585027
THE UNIVERSITY OF TEXAS AT TYLER,41600.0,628.0,city_small,-0.04435300779304101,10.635879484421974
TEXAS CHRISTIAN UNIVERSITY,49100.0,785.0,city_large,0.5746372909639772,10.801634680173994
TEXAS COLLEGE,23300.0,314.0,city_small,-1.5546893367601655,10.056251557087757
TEXAS LUTHERAN UNIVERSITY,43600.0,628.0,town_large,0.12071107187549718,10.682835364853922
THE UNIVERSITY OF TEXAS OF THE PERMIAN BASIN,42400.0,624.0,city_mid,0.02167262407437427,10.65492722584759
THE UNIVERSITY OF TEXAS AT SAN ANTONIO,44100.0,942.0,city_large,0.16197709179263173,10.694237736914808
TEXAS SOUTHERN UNIVERSITY,31300.0,785.0,city_large,-0.8944330180860127,10.351405324899678
TEXAS TECH UNIVERSITY,46100.0,785.0,city_mid,0.3270411714611699,10.738589920723442
TEXAS WESLEYAN UNIVERSITY,39500.0,471.0,city_large,-0.2176702914450061,10.584081267024454
TEXAS WOMAN'S UNIVERSITY,44800.0,628.0,city_mid,0.2197495196766201,10.709985739582528
TRINITY UNIVERSITY,53200.0,468.0,city_large,0.9130186542844805,10.881832472145556
THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,77700.0,628.0,city_large,2.9350536302240733,11.260623406285792
TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,65000.0,471.0,city_mid,1.886896724328856,11.082157933374816
WAYLAND BAPTIST UNIVERSITY,40900.0,468.0,town_small,-0.10212543567702938,10.61890979160975
WEST TEXAS A & M UNIVERSITY,40000.0,624.0,town_large,-0.17640427152787155,10.596659732783579
WILEY COLLEGE,28000.0,312.0,town_mid,-1.1667887495391007,10.239995502805316
SOUTHERN UTAH UNIVERSITY,37200.0,628.0,town_small,-0.407493983063825,10.524090921620362
UTAH STATE UNIVERSITY,42400.0,624.0,city_small,0.02167262407437427,10.65492722584759
UTAH VALLEY UNIVERSITY,43500.0,624.0,city_small,0.11245786789207027,10.680539205318292
UNIVERSITY OF UTAH,49300.0,780.0,city_mid,0.5911436989308311,10.805699643800724
